variable,VIF
padre_trabaja_other,5.917736946104552
padre_trabaja_services,5.16792397452106
padre_trabaja_teacher,2.6510482394657715
madre_trabaja_teacher,2.6414687015937273
madre_trabaja_services,2.567375304005076
madre_trabaja_other,2.5396200540718623
padre_trabaja_health,2.0568857325386105
madre_trabaja_health,1.9241387940835084
nivel_educativo_parental,1.85356190725045
indice_compromiso_academico,1.8152962318783474
indice_riesgo_academico,1.6974838725998496
tutor_legal_other,1.6869165488087272
edad,1.5888617276083332
razon_eleccion_escuela_reputation,1.4902100364950528
escuela_MS,1.445696917879539
tutor_legal_mother,1.4330446057964479
razon_eleccion_escuela_home,1.4002914378334563
genero,1.3465359036186573
domicilio,1.3408840241674822
indice_riesgo_social,1.3339278966088706
tiempo_viaje_colegio,1.2783542261845242
tiempo_libre,1.2706607050816945
razon_eleccion_escuela_other,1.2384122734589293
clases_particulares_pagadas,1.2348367079326612
internet_en_casa,1.2090096945974973
asistio_a_guarderia,1.1331425680779912
estado_salud,1.1298055696687763
estado_convivencia_padres,1.1255315362214553
tamano_familia_LE3,1.1241046986679173
actividades_extracurriculares,1.1196844163256843
calidad_relacion_familiar,1.0946176202050821
