familia,feature_set,modelo,R2_cv_media,R2_cv_std,R2_ajustado_cv_media,R2_ajustado_cv_std,RMSE_cv_media,RMSE_cv_std,MAE_cv_media,MAE_cv_std,R2_test,R2_ajustado_test,RMSE_test,MAE_test
Lineal / Interpretable,A,Linear Regression,0.10052617683993674,0.038878409979377644,-0.03174938538948435,0.04459582321163903,0.21545815050878875,0.013669535473387773,0.1639009613175741,0.010147728473977755,0.11238147481763427,-0.01815066123859599,0.21331115661678046,0.16686336690246809
Lineal / Interpretable,A,Lasso (LassoCV),0.08757171715226526,0.041110036762112855,-0.046608912678284,0.04715563040359999,0.2170400894950923,0.014405553767407998,0.16501896515997708,0.011866222185764589,0.1055201555156492,-0.026020998084990588,0.2141340204841582,0.16781614385724605
Ensamble / No lineal,B,Random Forest,0.09556080688619975,0.011128493003621811,-0.08532703173656028,0.013354191604346229,0.21638645708783458,0.01708460576299181,0.16184206159122205,0.015493517109821034,0.09767910418790904,-0.08278507497450915,0.21507052691844247,0.1721599970678133
Lineal / Interpretable,A,Ridge (RidgeCV),0.10592129820821776,0.029164779951596234,-0.025560863819985503,0.033453718179772184,0.21489228260892695,0.014220974675782632,0.1629273471897279,0.011464180368952945,0.08864225075071752,-0.04538094766829448,0.21614482255235026,0.17016868654362416
Ensamble / No lineal,B,XGBoost,0.05555375403736209,0.020859842352138648,-0.13333549515516546,0.025031810822566364,0.22103812613927007,0.01664910337481676,0.16974984107892727,0.012621341571675151,0.06765029048984827,-0.11881965141218198,0.21861996057012542,0.1756191352877436
Ensamble / No lineal,B,LightGBM,-0.10808276393256593,0.0738304368904352,-0.32969931671907904,0.08859652426852223,0.23923596341457518,0.018666987155880034,0.18766327698115087,0.012171571413263796,-0.08127952700775176,-0.297535432409302,0.23543410867632378,0.19824510019987684
