variable,puntuacion_f_regression,puntuacion_mutual_info
indice_riesgo_academico,38.95830018055703,0.05869855672602764
nivel_educativo_parental,17.279781607727237,0.007031277818353665
edad,10.535469672737435,0.0
indice_riesgo_social,8.616851773134837,0.028295939911396673
tiempo_viaje_colegio,5.467880066286739,0.0
madre_trabaja_health,5.375147379722202,0.0
domicilio,4.445163854236368,0.023342044663283268
genero,4.251814371189978,0.051180781268736375
clases_particulares_pagadas,4.131451064846015,0.0
internet_en_casa,3.849028574715569,0.0
razon_eleccion_escuela_reputation,3.631960034677756,0.0
padre_trabaja_teacher,3.607623187815944,0.00048778532902793437
tutor_legal_other,3.0513193808525996,0.007698639504498894
tamano_familia_LE3,2.6218323772433494,0.014077022173179188
madre_trabaja_services,2.432338703781988,0.0031197286957671544
indice_compromiso_academico,1.629201398122875,0.12670252301343154
estado_salud,1.484022761204227,0.0
estado_convivencia_padres,1.3269268029204175,0.0
madre_trabaja_teacher,1.3133470891143295,0.0
padre_trabaja_health,1.2860091263345994,0.0
razon_eleccion_escuela_other,1.0658703812007346,0.0
asistio_a_guarderia,1.0478711726566226,0.024999711584589246
calidad_relacion_familiar,1.0395558760026615,0.0
escuela_MS,0.7980416422082756,0.0491415141592928
tutor_legal_mother,0.1961951395939216,0.05092385930817622
razon_eleccion_escuela_home,0.1793740195794187,0.04644527828015255
padre_trabaja_services,0.10199506860859212,0.05376933771448922
actividades_extracurriculares,0.10189216053999157,0.028408931099678014
tiempo_libre,0.05025292259349728,0.0
