familia,feature_set,modelo,R2_cv_media,R2_cv_std,RMSE_cv_media,RMSE_cv_std,MAE_cv_media,MAE_cv_std,R2_test,RMSE_test,MAE_test
Lineal / Interpretable,A,Linear Regression,0.10052617683993674,0.038878409979377644,0.21545815050878875,0.013669535473387773,0.1639009613175741,0.010147728473977755,0.11238147481763427,0.21331115661678046,0.16686336690246809
Lineal / Interpretable,A,Lasso (LassoCV),0.08757171715226526,0.041110036762112855,0.2170400894950923,0.014405553767407998,0.16501896515997708,0.011866222185764589,0.1055201555156492,0.2141340204841582,0.16781614385724605
Lineal / Interpretable,A,Ridge (RidgeCV),0.10592129820821776,0.029164779951596234,0.21489228260892695,0.014220974675782632,0.1629273471897279,0.011464180368952945,0.08864225075071752,0.21614482255235026,0.17016868654362416
Ensamble / No lineal,B,Random Forest,0.03282956771429226,0.034148941799707816,0.2236629493379247,0.01700181349438433,0.17286357103436126,0.010459579414803317,0.03579754425896742,0.22232305846984926,0.17976496858399316
Ensamble / No lineal,B,LightGBM,-0.014015016686408855,0.05125383263624935,0.22915713369955912,0.020102754122268522,0.17725427854886883,0.013421576221172363,0.005165852692202599,0.22582693160046555,0.18430080042679348
Ensamble / No lineal,B,XGBoost,-0.09214842935853018,0.07055852676212798,0.23738624018610235,0.01631751133177964,0.18341004967689517,0.012264491577699784,-0.17911547974522568,0.24585472665114752,0.19969622027836267
