variable,VIF_Constante,VIF_Sin_Constante
indice_compromiso_academico,1.605829823870192,1.6058298238701914
indice_riesgo_academico,1.5159987286954826,1.5159987286954832
genero,1.2750992682827529,1.275099268282754
indice_riesgo_social,1.2496883618128771,1.2496883618128773
nivel_educativo_parental,1.2139320158464695,1.2139320158464693
domicilio,1.2006428625501855,1.200642862550185
tiempo_libre,1.178832290796088,1.1788322907960893
tiempo_viaje_colegio,1.1744502934223962,1.1744502934223962
edad,1.1712102774067337,1.1712102774067343
clases_particulares_pagadas,1.1501892926889774,1.1501892926889765
internet_en_casa,1.1385580757593525,1.1385580757593519
actividades_extracurriculares,1.0726719745165534,1.072671974516552
asistio_a_guarderia,1.0637152738937736,1.0637152738937719
calidad_relacion_familiar,1.0591097265605187,1.0591097265605174
estado_convivencia_padres,1.0565837770994482,1.0565837770994473
estado_salud,1.0564999991890391,1.056499999189039
